item,price ($),link,source,date
LCD1602 LCD monitor 1602 5V Blue/Green screen LCD 1602 LCD1602A,10,https://www.newegg.com/p/2S7-01PM-01R89?Description=Monitor&cm_re=Monitor-_-9SIB1X1FEV8825-_-Product,Newegg,2022-01-01
"Fit Samsung SyncMaster S27B350H LED LCD Monitor Charger Power Cord AC DC ADAPTER,Orders from USA",11,https://www.newegg.com/p/16J-01U9-01141?Description=monitor&cm_re=monitor-_-9SIAKCZAHV7726-_-Product,Newegg,2022-01-01
"Charger for Samsung AP04914-UV BN4400129A SAD04914F-UV LCD monitor Adapter Power,Orders from USA",11,https://www.newegg.com/p/16J-01U9-01136?Description=monitor&cm_re=monitor-_-9SIAKCZAHV7721-_-Product,Newegg,2022-01-01
"Fit Samsung SyncMaster P2770 P2770FH LCD Gaming Monitor Supply AC DC ADAPTER,Orders from USA",11,https://www.newegg.com/p/16J-01U9-01182?Description=Monitor&cm_re=Monitor-_-9SIAKCZAHV7767-_-Product,Newegg,2022-01-01
replacement elo touchscreen monitor vga cable for planar helium gechic philips hp led lcd aoc monitor,12,https://www.newegg.com/p/0JC-00MF-00001?Description=Monitor&cm_re=Monitor-_-0JC-00MF-00001-_-Product,Newegg,2022-01-01
12.1 inch 250*2mm with 48leds 3014 LED Backlight Lamps For LCD Monitor 2pcs/lot,12,https://www.newegg.com/p/2S7-01M6-04394?Description=Monitor&cm_re=Monitor-_-9SIB1X1FET7966-_-Product,Newegg,2022-01-01
12.1 inch 4014 LED Backlight Lamps For update LCD Monitor 260*2mm with 48leds 2pcs/lot,12,https://www.newegg.com/p/2S7-01M6-03YJ8?Description=Monitor&cm_re=Monitor-_-9SIB1X1FEM8763-_-Product,Newegg,2022-01-01
LED Backlight Lamps For update LCD Monitor 15.4 inch  330*2mm with 60leds 2pcs/lot,12,https://www.newegg.com/p/2S7-01M6-045C6?Description=Monitor&cm_re=Monitor-_-9SIB1X1FEW7623-_-Product,Newegg,2022-01-01
LED Backlight Lamps For update LCD Monitor 15 inch 4014 308*2mm with 57leds 2pcs/lot,12,https://www.newegg.com/p/2S7-01M6-03TU1?Description=Monitor&cm_re=Monitor-_-9SIB1X1FED0162-_-Product,Newegg,2022-01-01
10.4 inch 220*2mm with 42leds 3014 LED Backlight Lamps For LCD Monitor 2pcs/lot,12,https://www.newegg.com/p/2S7-01M6-04381?Description=Monitor&cm_re=Monitor-_-9SIB1X1FET7797-_-Product,Newegg,2022-01-01
320mmx4mm CCFL Backlight Lamps with Frame/holder for 15 inch LCD Monitor 315mm lamp 2pcs,12,https://www.newegg.com/p/2S7-01M6-04289?Description=Monitor&cm_re=Monitor-_-9SIB1X1FES9731-_-Product,Newegg,2022-01-01
